,0
0,"Honolulu, HI: Daniel K Inouye International"
1,"Las Vegas, NV: McCarran International"
2,"Sacramento, CA: Sacramento International"
3,"Seattle, WA: Seattle/Tacoma International"
4,"Kahului, HI: Kahului Airport"
5,"Oakland, CA: Metropolitan Oakland International"
6,"Portland, OR: Portland International"
7,"Los Angeles, CA: Los Angeles International"
8,"Phoenix, AZ: Phoenix Sky Harbor International"
9,"San Francisco, CA: San Francisco International"
10,"San Jose, CA: Norman Y. Mineta San Jose International"
11,"New York, NY: John F. Kennedy International"
12,"Lihue, HI: Lihue Airport"
13,"Kona, HI: Ellison Onizuka Kona International at Keahole"
14,"Hilo, HI: Hilo International"
15,"San Diego, CA: San Diego International"
16,"Pago Pago, TT: Pago Pago International"
